runtime_path	sha256	provenance_group	evidence	license
assets/frozendawn/sounds/entity/aggregate/awaken_1.ogg	d3553ef377011306812c53cffc3449aca10791ddd6d8a54b5a7a6a89e1101cee	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/awaken_2.ogg	664c30ad47efc0619dae918d5ad9127027a3bf40a90d20821991491b59d09a4d	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/awaken_3.ogg	10cc7b2176fbb85899dcae63b8c5cf9efb4f59eb894dd5c626d0a2f10090a377	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/death_1.ogg	f41f4cc28468852261611fe08030edb602bba6c5c15044dffef7f694a59d7b0a	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/death_2.ogg	6814575f334ac049ee145ae8d0adc092e177cd130f880eea86cc902a08836180	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/death_3.ogg	2d7980b628730b62ab4307159556113dcccf1b6c3b5dc2436f0e2f554f41ea8c	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/death_candidate_scream.ogg	5606c12aa9dc17351803e77c96353aca10a2c981c775d859365d1b126f303713	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/discharge_burst.ogg	7144592b59ebc0f1a97dc8ad6ba3c190fefac5c17e6ba2cc35d6c30bb0d364f1	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/discharge_charge.ogg	1052efca785934c71d8f15aef0d68260dca01d65c86920b81a18b6e696ef30c7	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/reallocation_1.ogg	36942858a5a1513fcaf4a33dc83d5f736ce7c5333207e1456c647b54af380992	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/reallocation_2.ogg	b0c8e0160843d83703bb5f4d403c2425859191476f2dcd711b1d8d3a5d0f9c4c	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/reallocation_3.ogg	775001127b5b4af391c933a4b1f41a836f7c161bbe74fba3cfeaa7709a234bf2	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/roar_1.ogg	a56efe5e6c16a1e850e23a36ec4467431ea1d00605cfce4572053c17863a0a25	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/roar_2.ogg	b07d7f656f75b95186a41c717037d34b3bd8de3b78a5368a1e29be7aa420ffac	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/roar_3.ogg	6c607c05e75520fd5ed505706aa54bc1ff0bb2068ff51ea7a8bc9fe5a78fdea9	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/slam_1.ogg	7e0a589fac9abe97c47c4436d916f07b24e0a1f145dbe400f4e41b9a34165d53	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/aggregate/slam_2.ogg	b31568c038a0228bbcd6dc97d0222e86f2c502b25a5f756df5cd50b3aae5cbdd	aggregate_mixed	tools/audio_sources/aggregate/SOURCES.md	CC0-derived
